#CO2	organic						mineral								CH4	organic						mineral								
#	-2		4		8		-2			4			8			-2		4		8		-2			4			8		
#	1	2	1	2	1	2	1	2	3	1	2	3	1	2	3	1	2	1	2	1	2	1	2	3	1	2	3	1	2	3
1	1.100	0.711	1.166	1.194	1.435	1.436	0.372	0.086	0.431	0.645	0.375	0.029	0.507	0.485	0.636	0.000	0.000	0.000	0.000	0.000	0.000	0.008	0.016	0.009	0.025	0.021	0.019	0.029	0.030	0.029
3	0.877	1.655	2.176	2.419	3.578	3.565	0.404	0.375	0.426	0.789	0.532	0.692	0.772	0.855	0.997	0.000	0.000	0.009	0.005	0.022	0.021	0.013	0.018	0.016	0.050	0.037	0.037	0.082	0.084	0.080
5	1.004	2.035	2.815	3.110	4.660	4.891	0.415	0.407	0.451	0.878	0.615	0.841	0.846	1.037	1.254	0.002	0.002	0.013	0.012	0.043	0.043	0.013	0.018	0.017	0.061	0.048	0.050	0.101	0.107	0.100
7	1.282	2.742	4.314	4.722	6.108	6.422	0.538	0.511	0.556	1.182	0.851	1.162	1.188	1.364	1.593	-0.001	-0.001	0.019	0.018	0.072	0.071	0.018	0.020	0.023	0.102	0.080	0.083	0.173	0.184	0.171
11	2.860	6.947	10.440	10.658	14.231	14.562	1.310	1.291	1.382	3.114	2.302	3.114	3.427	3.990	4.571	-0.006	-0.006	0.064	0.071	0.202	0.195	0.022	0.019	0.024	0.289	0.225	0.259	0.450	0.535	0.468
15	2.096	3.989	6.912	7.809	10.847	11.176	0.537	0.481	0.609	1.531	1.133	1.637	1.759	2.136	2.481	0.003	0.003	0.074	0.079	0.240	0.238	0.026	0.024	0.030	0.308	0.248	0.286	0.641	0.807	0.720
20	2.561	4.993	7.548	8.513	12.686	13.259	0.711	0.709	0.698	1.783	1.358	1.944	2.124	2.510	2.989	0.000	0.000	0.111	0.123	0.463	0.413	0.031	0.030	0.036	0.568	0.447	0.523	0.864	1.066	0.999
25	2.837	5.658	8.124	9.259	14.721	15.263	0.367	0.325	0.378	1.649	1.146	1.818	2.137	2.618	2.823	0.019	0.080	0.137	0.174	0.762	0.694	0.040	0.040	0.050	0.990	0.785	0.885	1.576	1.943	1.721
29	3.148	6.404	8.676	9.881	15.317	15.311	0.645	0.587	0.608	1.971	1.527	2.259	3.284	3.094	3.448	0.010	0.035	0.066	0.085	0.365	0.343	0.022	0.021	0.027	0.432	0.341	0.398	0.866	0.871	0.803
36	4.490	6.790	13.358	14.107	21.642	21.658	0.593	0.505	0.631	2.567	1.936	3.026	3.679	4.361	4.654	0.012	0.043	0.080	0.108	0.609	0.575	0.031	0.023	0.036	0.570	0.454	0.522	1.039	1.141	1.064
42	5.284	10.078	12.425	15.448	21.553	22.780	0.544	0.598	0.676	2.755	2.185	3.214	4.111	5.035	5.165	0.016	0.046	0.082	0.114	1.016	0.993	0.031	0.026	0.043	0.728	0.588	0.668	1.386	1.563	1.425
49	5.573	5.573	14.761	15.865	22.598	22.346	0.785	0.703	0.892	2.652	2.062	3.169	4.500	5.273	5.107	0.029	0.030	0.103	0.124	1.191	1.216	0.052	0.043	0.069	0.687	0.550	0.628	1.372	1.549	1.411
55	3.673	3.673	8.555	8.405	13.137	13.575	0.204	0.505	0.508	1.529	1.303	1.935	2.778	3.115	3.219	0.039	0.037	0.106	0.113	1.521	1.521	0.070	0.051	0.080	0.729	0.579	0.672	1.696	1.800	1.633
