#co2	Organic									mineral								ch4	Organic									mineral								
#	-2			4			8			-2			4			8			-2			4			8			-2			4			8		
#	1	2	3	1	2	3	1	2	3	1	2	3	1	2	3	1	2	3	1	2	3	1	2	3	1	2	3	1	2	3	1	2	3	1	2	3
1	1.180	1.257	1.137	1.940	1.469	1.317	1.447	1.713	2.786	0.855	0.824	1.028	1.008	0.716	0.623	0.865	0.675	0.660	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
3	1.679	1.586	2.102	4.078	4.105	3.415	9.705	12.574	13.412	1.146	1.311	1.407	1.424	1.057	0.965	1.250	1.195	1.140	0.000	0.000	0.000	0.013	0.000	0.000	1.296	1.417	1.101	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
5	2.908	1.623	2.096	5.018	5.016	4.326	8.685	9.673	9.407	1.049	1.290	0.957	1.460	1.167	1.049	1.650	1.665	1.632	0.000	0.000	0.000	0.056	0.000	0.000	0.018	0.031	0.000	0.000	0.000	0.000	0.021	0.012	0.004	0.036	0.041	0.039
7	1.645	1.594	2.012	5.083	5.329	4.582	8.206	8.161	9.688	1.408	1.410	1.453	1.403	1.159	1.105	2.080	1.968	1.979	0.000	0.000	0.012	0.132	0.036	0.021	0.074	0.103	0.033	0.000	0.031	0.015	0.083	0.071	0.059	0.109	0.107	0.109
9	1.924	1.811	1.853	5.461	5.427	4.092	8.722	8.629	7.682	0.116	0.144	0.163	1.904	1.623	1.555	2.314	2.402	2.405	0.020	0.020	0.045	0.179	0.070	0.057	0.113	0.150	0.075	0.031	0.045	0.056	0.125	0.111	0.100	0.126	0.136	0.134
13	2.4285	1.7381	2.5787	8.8925	8.6625	7.5965	12.1138	12.1397	13.8985	1.0388	1.3642	1.4201	0.2884	0.2286	0.2060	0.2859	0.3017	0.2945	-0.006	-0.006	-0.006	0.068	0.078	0.058	0.177	0.263	0.123	0.006	0.014	0.027	0.161	0.124	0.110	0.160	0.169	0.165
17	2.4248	1.9940	2.6137	9.3643	8.7347	8.4233	13.6061	13.3808	14.7617	1.7893	1.7434	1.7994	2.8753	2.2424	2.4986	3.2154	3.4059	3.4669	-0.065	-0.065	-0.020	0.318	0.060	0.046	0.295	0.454	0.204	-0.047	-0.035	-0.015	0.192	0.095	0.119	0.198	0.230	0.232
21	1.7984	1.7623	2.2934	10.6524	7.0801	9.5073	14.6106	14.1696	15.8515	1.1136	1.4701	1.4934	3.3622	2.7708	2.5625	4.0723	5.1364	4.0938	0.012	0.012	0.052	0.476	0.081	0.162	0.508	0.727	0.402	0.028	0.042	0.061	0.283	0.192	0.174	0.385	0.373	0.416
26	2.4636	2.2543	3.0633	10.5821	10.6117	9.8078	15.1908	13.6237	16.4796	1.1709	1.5376	1.5670	3.3887	2.9038	2.7070	4.4170	5.5875	4.4763	-0.0280	-0.0222	0.0064	0.4076	0.1348	0.1248	0.5293	0.7971	0.4229	-0.0201	-0.0072	0.0123	0.2091	0.1233	0.1094	0.3834	0.3261	0.4309
30	2.7207	2.4696	3.2385	11.0754	11.7234	9.9809	14.8290	15.2617	16.2863	1.1776	1.5429	1.6214	3.4243	3.0814	3.2949	4.6729	6.0392	4.7482	-0.0279	-0.0204	0.0094	0.4769	0.1787	0.1579	0.6617	1.0336	0.5540	-0.0200	-0.0022	0.0143	0.2222	0.1370	0.1078	0.4720	0.4063	0.5555
37	3.2358	3.1420	3.7918	12.7210	13.4090	11.4237	17.1490	17.8152	18.6884	1.3068	1.8951	1.6755	4.1095	3.9045	3.2549	5.8197	7.1546	5.5343	-0.0279	-0.0151	0.0188	0.6766	0.2705	0.2542	1.0600	1.6934	0.8949	-0.0175	0.0425	0.0332	0.3063	0.1905	0.1595	0.7800	0.6386	0.8358
44	3.5584	2.9870	4.2079	13.1948	13.8363	11.7436	18.1198	18.2511	16.1964	1.3300	1.7474	1.9867	4.4061	4.1131	3.7636	6.1669	7.7365	6.0438	0.0131	-0.0162	0.0261	0.8286	0.3450	0.3285	1.4946	2.3753	1.0214	-0.0163	0.0273	0.0616	0.3606	0.2287	0.1999	1.0474	0.9154	1.1373
51	3.6834	3.4061	4.3060	12.0960	12.7394	10.8090	17.3386	17.3321	17.5980	1.3132	2.0558	1.0587	3.4460	3.8877	3.5472	7.8401	7.5687	6.9251	-0.0166	-0.0118	0.0313	0.8724	0.3733	0.3610	1.8609	2.9013	1.5180	-0.0151	0.0722	0.0021	0.3095	0.2430	0.2141	0.9838	1.1192	1.1567
57	4.1426	1.2946	2.3442	12.9398	12.8204	11.2732	18.4150	18.0520	18.8290	1.3322	1.6913	1.9599	4.3578	4.4233	3.9714	6.7755	6.7698	6.6138	-0.0224	-0.0347	-0.0265	1.0228	0.4294	0.4155	1.8609	2.9013	1.5180	-0.0063	0.0536	0.0900	0.4512	0.2959	0.2746	1.5217	1.3860	1.6360
