     Time(d)	          pH	      P(atm)	      CO2(g)	      CH4(g)	       H2(g)	      CO2(a)	      CH4(a)	       H2(a)	          Ac	     Glucose	      Fulvic	        WEOC	       Fe(2)	       Fe(3)	  CO2(gmole)	  CH4(gmole)	  CO2s(mole)	    Fe(OH)3a	        SOM1	        SOM2	        SOM3	        SOM4	        FeRb	       MeGAb	       MeGHb	         Ac-	        Fe+2	        Fe+3	          H2	
  0.0000e+00	  4.5400e+00	  0.0000e+00	  3.9811e-02	  4.1781e-09	  5.3426e-09	  3.3817e-02	  1.0000e-10	  5.0000e-11	  2.6700e+00	  1.3700e+00	  0.0000e+00	  1.3560e+01	  2.2970e+01	  5.1891e-04	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  1.1563e+00	  2.2322e+01	  8.6052e-06	  5.0000e-11	
  1.1574e-02	  4.5398e+00	  1.0010e+00	  3.3397e-02	  6.6545e-06	  6.2443e-02	  2.8368e-02	  1.5927e-07	  5.8438e-04	  2.7671e+00	  1.3216e+00	  0.0000e+00	  1.3463e+01	  2.2970e+01	  5.1933e-04	  6.6049e-07	  1.3161e-10	  0.0000e+00	  2.5290e+02	  1.0500e-03	  2.1000e-03	  1.0500e-02	  9.1300e-02	  4.2006e-08	  2.1001e-08	  2.1000e-08	  1.1980e+00	  2.2322e+01	  8.6205e-06	  5.8438e-04	
  2.3148e-02	  4.5395e+00	  1.0018e+00	  5.7343e-02	  1.4128e-05	  1.2262e-01	  4.8708e-02	  3.3813e-07	  1.1476e-03	  2.8606e+00	  1.2749e+00	  0.0000e+00	  1.3370e+01	  2.2970e+01	  5.1973e-04	  1.1341e-06	  2.7940e-10	  0.0000e+00	  2.5290e+02	  1.0500e-03	  2.1000e-03	  1.0500e-02	  9.1300e-02	  4.2013e-08	  2.1002e-08	  2.1001e-08	  1.2381e+00	  2.2323e+01	  8.6354e-06	  1.1476e-03	
  3.4722e-02	  4.5393e+00	  1.0026e+00	  8.0434e-02	  2.2200e-05	  1.8063e-01	  6.8321e-02	  5.3134e-07	  1.6904e-03	  2.9508e+00	  1.2299e+00	  0.0000e+00	  1.3281e+01	  2.2971e+01	  5.2012e-04	  1.5908e-06	  4.3906e-10	  0.0000e+00	  2.5290e+02	  1.0500e-03	  2.1000e-03	  1.0500e-02	  9.1300e-02	  4.2021e-08	  2.1004e-08	  2.1001e-08	  1.2768e+00	  2.2323e+01	  8.6498e-06	  1.6904e-03	
  4.6296e-02	  4.5391e+00	  1.0034e+00	  1.0270e-01	  3.0760e-05	  2.3654e-01	  8.7234e-02	  7.3621e-07	  2.2136e-03	  3.0378e+00	  1.1865e+00	  0.0000e+00	  1.3194e+01	  2.2971e+01	  5.2049e-04	  2.0312e-06	  6.0834e-10	  0.0000e+00	  2.5289e+02	  1.0499e-03	  2.1000e-03	  1.0500e-02	  9.1300e-02	  4.2029e-08	  2.1005e-08	  2.1002e-08	  1.3141e+00	  2.2323e+01	  8.6637e-06	  2.2136e-03	
  5.7870e-02	  4.5389e+00	  1.0041e+00	  1.2418e-01	  3.9718e-05	  2.9043e-01	  1.0547e-01	  9.5060e-07	  2.7180e-03	  3.1216e+00	  1.1447e+00	  0.0000e+00	  1.3111e+01	  2.2971e+01	  5.2085e-04	  2.4559e-06	  7.8550e-10	  0.0000e+00	  2.5289e+02	  1.0499e-03	  2.1000e-03	  1.0500e-02	  9.1300e-02	  4.2038e-08	  2.1006e-08	  2.1002e-08	  1.3500e+00	  2.2323e+01	  8.6771e-06	  2.7180e-03	
  6.9444e-02	  4.5387e+00	  1.0049e+00	  1.4489e-01	  4.9009e-05	  3.4238e-01	  1.2306e-01	  1.1730e-06	  3.2042e-03	  3.2024e+00	  1.1044e+00	  0.0000e+00	  1.3031e+01	  2.2971e+01	  5.2120e-04	  2.8655e-06	  9.6926e-10	  0.0000e+00	  2.5289e+02	  1.0499e-03	  2.1000e-03	  1.0500e-02	  9.1300e-02	  4.2047e-08	  2.1007e-08	  2.1003e-08	  1.3846e+00	  2.2323e+01	  8.6900e-06	  3.2042e-03	
  8.1019e-02	  4.5385e+00	  1.0056e+00	  1.6487e-01	  5.8584e-05	  3.9247e-01	  1.4003e-01	  1.4021e-06	  3.6729e-03	  3.2803e+00	  1.0655e+00	  0.0000e+00	  1.2954e+01	  2.2972e+01	  5.2153e-04	  3.2606e-06	  1.1586e-09	  0.0000e+00	  2.5289e+02	  1.0499e-03	  2.1000e-03	  1.0500e-02	  9.1300e-02	  4.2056e-08	  2.1008e-08	  2.1004e-08	  1.4179e+00	  2.2323e+01	  8.7024e-06	  3.6729e-03	
  9.2593e-02	  4.5383e+00	  1.0062e+00	  1.8413e-01	  6.8402e-05	  4.4075e-01	  1.5639e-01	  1.6371e-06	  4.1248e-03	  3.3554e+00	  1.0281e+00	  0.0000e+00	  1.2879e+01	  2.2972e+01	  5.2186e-04	  3.6417e-06	  1.3528e-09	  0.0000e+00	  2.5289e+02	  1.0499e-03	  2.1000e-03	  1.0500e-02	  9.1300e-02	  4.2065e-08	  2.1010e-08	  2.1005e-08	  1.4500e+00	  2.2323e+01	  8.7145e-06	  4.1248e-03	
  1.0417e-01	  4.5381e+00	  1.0069e+00	  2.0272e-01	  7.8431e-05	  4.8730e-01	  1.7218e-01	  1.8771e-06	  4.5604e-03	  3.4278e+00	  9.9195e-01	  0.0000e+00	  1.2807e+01	  2.2972e+01	  5.2217e-04	  4.0092e-06	  1.5511e-09	  0.0000e+00	  2.5289e+02	  1.0499e-03	  2.1000e-03	  1.0500e-02	  9.1300e-02	  4.2075e-08	  2.1011e-08	  2.1006e-08	  1.4810e+00	  2.2323e+01	  8.7261e-06	  4.5604e-03	
  1.1574e-01	  4.5380e+00	  1.0075e+00	  2.2065e-01	  8.8645e-05	  5.3219e-01	  1.8740e-01	  2.1216e-06	  4.9804e-03	  3.4976e+00	  9.5713e-01	  0.0000e+00	  1.2738e+01	  2.2972e+01	  5.2247e-04	  4.3638e-06	  1.7531e-09	  0.0000e+00	  2.5289e+02	  1.0499e-03	  2.1000e-03	  1.0500e-02	  9.1300e-02	  4.2084e-08	  2.1012e-08	  2.1007e-08	  1.5108e+00	  2.2323e+01	  8.7372e-06	  4.9804e-03	
  1.2731e-01	  4.5378e+00	  1.0081e+00	  2.3795e-01	  9.9022e-05	  5.7546e-01	  2.0209e-01	  2.3699e-06	  5.3854e-03	  3.5649e+00	  9.2357e-01	  0.0000e+00	  1.2671e+01	  2.2973e+01	  5.2276e-04	  4.7059e-06	  1.9584e-09	  0.0000e+00	  2.5289e+02	  1.0498e-03	  2.1001e-03	  1.0500e-02	  9.1300e-02	  4.2094e-08	  2.1013e-08	  2.1008e-08	  1.5396e+00	  2.2324e+01	  8.7480e-06	  5.3854e-03	
